question_code,question_title,choice1,choice2,choice3,choice4,correct,state,correct_rate,picture,year,round,subject
QA20191021,PE(processing element)라는 연산기를 사용하여 동기적 병렬 처리를 수행하는 것은?,Pipeline processor,Vector processor,Multi processor,VLSI processor,2,정상,0,,2019,1,A
QA20191022,"반가산기에서 입력을 X, Y라 할 때 출력 부분의 캐리(caeey) 값은?",XY,X,Y,X+Y,1,정상,0,,2019,1,A
QA20191023,"명령어가 오퍼레이션 코드(OP code) 6비트, 어드레스 필드 16비트로 되어 있다. 이 명령어를 쓰는 컴퓨터의 최대 메모리 용량은?",16K word,32K word,64K word,1M word,3,정상,0,,2019,1,A
QA20191024,디코더(decoder)의 출력이 4개일 때 입력개수는?,1,2,8,16,2,정상,0, ,2019,1,A
QA20191025,기억장치에 기억된 정보를 액세스하기 위하여 주소를 사용하는 것이 아니라 기억된 정보의 일부분을 이용하여 원하는 정보를 찾는 것은?,Random Access Memory,Associative,Read Only Memory,Virtual Memory,2,정상,0,,2019,1,A
QA20191026,다음 진리표에 해당하는 논리식은?,T=A`A+AB`,T=AB+A`B`,T=AA`+BB`,T=AA`+B`A`,1,정상,0,c:/test/QA20191026.png,2019,1,A
QA20191027,"Flynn의 컴퓨터 시스템 분류 제안 중에서 하나의 데이터 흐름이 다수의 프로세서들로 전달되며, 각 프로세서는 서로 다른 명령어를 실행하는 구조는?","단일 명령어, 단일 데이터 흐름","단일 명령어, 다중 데이터 흐름","다중 명령어, 단일 데이터 흐름","다중 명령어, 다중 데이터 흐름",3,정상,0,,2019,1,A
QA20191028,다음 중 타이머에 의한 인터럽트(Interrupt)는?,프로그램 인터럽트,I/O 인터럽트,외부 인터럽트,머신 체크 인터럽트,3,정상,0,,2019,1,A
QA20191029,DMA 제어기에서 CPU와 I/O 장치 사이의 통신을 위해 반드시 필요한 것이 아닌 것은?,address register,word count register,address line,device register,4,정상,0,,2019,1,A
QA20191030,I/O operation과 관계가 없는 것은?,channel,handshaking,interrupt,emulation,4,정상,0,,2019,1,A
QA20191031,블루레이 디스크(Blue-ray Disc)에 관한 설명으로 틀린 것은?,저장된 데이터를 읽기 위해 적색 레이저(650nm)를 사용한다.,비디오 포맷은 DVD와 동일한 MPEG-2 기반 코덱이 사용된다.,단층 기록면을 가지는 12cm 직경에 25GB정도의 데이터를 저장할 수 있다.,"BD-ROM(읽기 전용), BD-R(기록가능), BD-RE(재기록가능)가 있다.",1,정상,0,,2019,1,A
QA20191032,기억장치를 각 모듈이 번갈아 가며 접근하는 방법은?,페이징,스테이징,인터리빙,세그멘팅,3,정상,0,,2019,1,A
QA20191033,베이스레지스터 주소지정방식의 특징이 아닌 것은?,베이스레지스터가 필요하다.,프로그램의 재배치가 용이하다.,다중 프로그래밍 기법에 많이 사용된다.,명령어의 길이가 절대주소지정방식보다 길어야 한다.,4,정상,0,,2019,1,A
QA20191034,CPU 내부의 레지스터 중 프로그램 제어와 관계가 있는 것은?,memory address register,index register,accumulator,status register,4,정상,0, ,2019,1,A
QA20191035,기억장치의 구조가 stack 구조를 가질 때 가장 밀접한 관계가 있는 명령어는?,one-address,two-address,three-address,zero-address,4,정상,0,,2019,1,A
QA20191036,시프트 레지스터(shift register)의 내용을 오른쪽으로 한 번 시프트하면 데이터는 어떻게 변하는가?,기존 데이터의 1/2,기존 데이터의 1/3,기존 데이터의 1/4,기존 데이터의 1/10,1,정상,0,,2019,1,A
QA20191037,"가상기억장치에서 주소 공간이 1024K, 기억공간은 32K라고 가정할 때 주기억장치의 주소 레지스터는 몇 비트로 구성되는가?",12,13,14,15,4,정상,0,,2019,1,A
QA20191038,채널(Channel)에 대한 설명으로 가장 옳지 않은 것은?,DMA와 달리 여러 개의 블록을 입출력할 수 있다.,시스템의 입출력 처리 능력을 향상시키는 기능을 한다.,멀티플렉서 채널은 저속인 여러 장치를 동시에 제어하는 데 적합하다.,입출력 동작을 수행하는데 있어서 CPU의 지속적인 개입이 필요하다.,4,정상,0,,2019,1,A
QA20191039,사이클 타임이 750ns 인 기억장치에서는 이론적으로 초당 몇 개의 데이터를 불러 낼 수 있는가?,약 750개,약 1330개,약 1.3×106개,약 750×106개,3,정상,0,,2019,1,A
QA20191040,메모리 버퍼 레지스터(MBR)의 설명으로 옳은 것은?,다음에 실행할 명령어의 번지를 기억하는 레지스터,현재 실행 중인 명령의 내용을 기억하는 레지스터,기억장치를 출입하는 데이터가 일시적으로 저장되는 레지스터,기억장치를 출입하는 데이터의 번지를 기억하는 레지스터,3,정상,0,,2019,1,A
QC20191081,자기 정정 부호의 하나로 비트 착오를 검출해서 1bit 착오를 정정하는 부호 방식은?,Parity code,Hamming code,ASCII code,EBCDIC code,2,정상,0,,2019,1,C
QC20191082,"패널 대역폭이 150kHz이고 S/N비가 15일 때 채널용량(kbps)은? (단, S : 신호, N : 잡음)",150,300,450,750,3,정상,0,,2019,1,C
QC20191083,동일한 네트워크에 있는 목적지 호스트로 IP패킷을 직접 전달할 수 있도록 IP 주소를 MAC 주소로 변환하는 프로토콜은?,ARP(Address Resolution Protocol),ICMP(Internet Contol Message Protocol),IGMP(Internet Group Management Protocol),SNMP(Simple Network Management Protocol),1,정상,0,,2019,1,C
QC20191084,OSI 7계층에서 TCP는 어떤 계층에 해당되는가?,세션 계층,네트워크 계층,전송 계층,데이터 링크 계층,3,정상,0,,2019,1,C
QC20191085,토큰링 방식에 사용되는 네트워크 표준안은?,IEEE 802.2,IEEE 802.3,IEEE 802.5,IEEE 802.6,3,정상,0,,2019,1,C
QC20191086,QAM(Quadrature Amplitude Modulation)방식에서 4개의 위상과 2개의 진폭으로 구성되고 2400baud일 때 전송 속도(bps)는?,300,4800,7200,19200,3,정상,0,,2019,1,C
QC20191087,IPv6의 주소체계에 해당하지 않는 것은?,Broadcast,Unicast,Anycast,Multicast,1,정상,0,,2019,1,C
QC20191088,최단 경로 탐색에는 Bellman-Ford 알고리즘을 사용하는 거리 벡터 라우팅 프로토콜은?,ICMP,RIP,ARP,HTTP,2,정상,0,,2019,1,C
QC20191089,"ARQ(Automatic Repeat reQuest) 기법 중 오류가 검출된 해당 블록만을 재전송하는 방식으로 재전송 블록 수가 적은 반면, 수신측에서 큰 버퍼와 복잡한 논리 회로를 요구하는 기법은?",Selective Repeat ARQ,Stop and Wait ARQ,Go-Back-N ARQ,Adaptive ARQ,1,정상,0,,2019,1,C
QC20191090,"PSK에서 반송파간의 위상차를 구하는 수식은? (단, M은 진수이다.)",π/M,π×M,2π/M,5π/2M,3,정상,0,,2019,1,C
QC20191091,주파수 분할 다중화 방식(FDM)에서 Guard Band가 필요한 이유는?,주파수 대역폭을 넓히기 위함이다.,신호의 세기를 크게 하기 위함이다.,채널 간섭을 막기 위함이다.,많은 채널을 좁은 주파수 대역에 쓰기 위함이다.,3,정상,0,,2019,1,C
