question_code	question_title	choice1	choice2	choice3	choice4	correct	state	correct_rate	picture	year	round	subject	"question_code	question_title	choice1	choice2	choice3	choice4	correct	state	correct_rate	picture	year	round	subject"																
QA20182021	다중처리기를 사용하여 성능개선을 하고자 하는 것 중 주된 목표가 아닌 것은?	유연성	신뢰성	대중성	수행속도	3	정상	0		2018	2	A	"QA20182021	다중처리기를 사용하여 성능개선을 하고자 하는 것 중 주된 목표가 아닌 것은?	유연성	신뢰성	대중성	수행속도	3	정상	0		2018	2	A"																
QA20182022	CPU에 의해 참조되는 각 주소는 가상주소를 주기억장치의 실제주소로 변환하여야 한다. 이것을 무엇이라 하는가?	mapping	blocking	buffering	interleaving	1	정상	0		2018	2	A	"QA20182022	CPU에 의해 참조되는 각 주소는 가상주소를 주기억장치의 실제주소로 변환하여야 한다. 이것을 무엇이라 하는가?	mapping	blocking	buffering	interleaving	1	정상	0		2018	2	A"																
QA20182023	두 데이터의 비교(Compare)를 위한 논리연산은?	XOR 연산	AND 연산	OR 연산	NOT 연산	1	정상	0		2018	2	A	"QA20182023	두 데이터의 비교(Compare)를 위한 논리연산은?	XOR 연산	AND 연산	OR 연산	NOT 연산	1	정상	0		2018	2	A"																
QA20182024	"논리곱(minterm)으로 표시된 다음 불대수(boolean function)를 간략화 한 것은? (단, d 함수는 don't care 임)"	w x + yz` 	w`z + y z	w`z + yz`	ww`+yz	2	정상	0	c:/test/QA20182024.png	2018	2	A	"QA20182024	""논리곱(minterm)으로 표시된 다음 불대수(boolean function)를 간략화 한 것은? (단"	" d 함수는 don't care 임)""	w x + yz` 	w`z + y z	w`z + yz`	ww`+yz	2	정상	0	c:/test/QA20182024.png	2018	2	A"															
QA20182025	2개 이상의 프로그램을 주기억장치에 기억시키고 CPU를 번갈아 사용하면서 처리하여 컴퓨터 시스템 자원 활용률을 극대화하기 위한 프로그래밍 기법은?	분산처리 프로그래밍	일괄처리 프로그래밍	멀티 프로그래밍	리얼타임 프로그래밍	3	정상	0		2018	2	A	"QA20182025	2개 이상의 프로그램을 주기억장치에 기억시키고 CPU를 번갈아 사용하면서 처리하여 컴퓨터 시스템 자원 활용률을 극대화하기 위한 프로그래밍 기법은?	분산처리 프로그래밍	일괄처리 프로그래밍	멀티 프로그래밍	리얼타임 프로그래밍	3	정상	0		2018	2	A"																
QA20182026	수직적 마이크로명령어에 대한 설명으로 틀린 것은?	마이크로명령어의 비트 수가 감소된다.	제어 기억장치의 용량을 줄일 수 있다.	마이클로 명령어의 코드화된 비트들을 해독하기 위한 지연이 발생한다.	마이크로명령어의 각 비트가 각 제어신호에 대응되도록 하는 방식이다.	4	정상	0		2018	2	A	"QA20182026	수직적 마이크로명령어에 대한 설명으로 틀린 것은?	마이크로명령어의 비트 수가 감소된다.	제어 기억장치의 용량을 줄일 수 있다.	마이클로 명령어의 코드화된 비트들을 해독하기 위한 지연이 발생한다.	마이크로명령어의 각 비트가 각 제어신호에 대응되도록 하는 방식이다.	4	정상	0		2018	2	A"																
QA20182027	"입력단자가 하나이며, 1이 입력될 때마다 출력단자의 상태가 바뀌는 플립플롭의 종류는?"	RS	T	D	M/S	2	정상	0		2018	2	A	"QA20182027	""입력단자가 하나이며"	" 1이 입력될 때마다 출력단자의 상태가 바뀌는 플립플롭의 종류는?""	RS	T	D	M/S	2	정상	0		2018	2	A"															
QA20182028	"컴퓨터 시스템에서 1-address machine, 2-address machine, 3-address machine으로 나눌 때 기준이 되는 것은?"	operation code	기억장치의 크기	register 수	operand의 address 수	4	정상	0		2018	2	A	"QA20182028	""컴퓨터 시스템에서 1-address machine"	 2-address machine	" 3-address machine으로 나눌 때 기준이 되는 것은?""	operation code	기억장치의 크기	register 수	operand의 address 수	4	정상	0		2018	2	A"														
QA20182029	일반적인 제어 장치 모델에서 제어 장치로 입력되는 항목이 아닌 것은?	CPU 내의 제어 신호들	클록	명령어 레지스터	플래그	1	정상	0		2018	2	A	"QA20182029	일반적인 제어 장치 모델에서 제어 장치로 입력되는 항목이 아닌 것은?	CPU 내의 제어 신호들	클록	명령어 레지스터	플래그	1	정상	0		2018	2	A"																
QA20182030	"Interrupt cycle에 대한 마이크로 오퍼레이션(micro-operation) 중에서 가장 관계가 없는 것은? (단, MAR : Memory Address Register, PC : Program Counter, M : memory, MBR : Memory Buffer Register, IEN : Interrupt Enable 이며, Interrupt Handler는 0 번지에 저장 되어있다고 가정한다.)"	"MAR ← PC, PC ← PC＋1"	"MBR ← MAR, PC ← 0"	"M ← MBR, IEN ← 0"	GO TO fetch cycle	2	정상	0		2018	2	A	"QA20182030	""Interrupt cycle에 대한 마이크로 오퍼레이션(micro-operation) 중에서 가장 관계가 없는 것은? (단"	 MAR : Memory Address Register	 PC : Program Counter	 M : memory	 MBR : Memory Buffer Register	 IEN : Interrupt Enable 이며	" Interrupt Handler는 0 번지에 저장 되어있다고 가정한다.)""	""MAR ← PC"	" PC ← PC＋1""	""MBR ← MAR"	" PC ← 0""	""M ← MBR"	" IEN ← 0""	GO TO fetch cycle	2	정상	0		2018	2	A"							
